2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :340 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :342 , BPM :48]
2017-10-13 23:20:21 [Pulse :339 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :344 , BPM :48]
2017-10-13 23:20:21 [Pulse :345 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :340 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :342 , BPM :48]
2017-10-13 23:20:21 [Pulse :339 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :344 , BPM :48]
2017-10-13 23:20:21 [Pulse :345 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :341 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :338 , BPM :48]
2017-10-13 23:20:21 [Pulse :340 , BPM :48]
2017-10-13 23:20:21 [Pulse :343 , BPM :48]
